time_s,v_mean,v_std,user00,user01,user02,user10,user11,user12
1795,-0.105592613,0.111977473,-0.134641573,-0.136563241,-0.2072272,-0.062697425,0.118421733,-0.210847974
1796,-0.091029346,0.15503459,-0.122906193,-0.105637372,-0.289537698,-0.08087565,0.221199751,-0.168418914
1797,-0.093787631,0.109030039,-0.125106439,-0.157443628,-0.253979504,-0.039664391,0.100255072,-0.086786896
1798,-0.113534263,0.088871128,-0.123071373,-0.150956988,-0.256507277,-0.094701126,0.044346504,-0.100315318
1799,-0.102399771,0.12486201,-0.124858141,-0.077666238,-0.144212589,-0.12814568,0.139866516,-0.279382497
1800,-0.157469933,0.200876276,-0.137648165,-0.227409154,-0.279655069,-0.13086319,0.239856422,-0.409100443
1801,-0.119581003,0.094621076,-0.145076737,-0.084280029,-0.265200436,-0.087399647,0.042263038,-0.177792206
1802,-0.135898446,0.09277712,-0.14646323,-0.242303073,-0.187684804,-0.000753399,-0.022394706,-0.215791464
1803,-0.14012746,0.131633435,-0.151338935,-0.320484906,-0.241772324,0.024692889,-0.011734024,
1804,-0.164163592,0.109908239,-0.145791158,-0.302256882,-0.225030899,-0.047669869,-0.00222804,-0.262004703
1805,-0.168714843,0.093269042,-0.143190011,-0.153599352,-0.275093317,-0.201632649,0.011089627,-0.249863356
1806,-0.130477979,0.105020749,-0.144713327,-0.150377035,-0.302904963,-0.059883792,0.041475292,-0.166464046
1807,-0.072804964,0.114247543,-0.149539307,-0.031244848,-0.184703484,-0.043155927,0.144659996,-0.172846213
1808,-0.117984066,0.125714121,-0.143024921,0.032524627,-0.289499134,-0.054109413,0.010739487,-0.26453504
1809,-0.066721257,0.154447932,-0.138731658,-0.014525477,-0.31647706,-0.031844649,0.199084654,-0.09783335
1810,-0.130850411,0.158190111,-0.144812346,-0.03773069,-0.252259672,-0.089180171,0.119241789,-0.380361378
1811,-0.035963219,0.086735783,-0.107509553,-0.027376641,-0.157473281,0.038332619,0.074210763,
1812,-0.110632595,0.14080896,-0.122512579,-0.183907777,-0.242199928,0.008657686,0.134508997,-0.258341968
1813,-0.046600418,0.103828581,-0.134759605,-0.02896199,-0.099608123,0.031476866,0.128867283,-0.176616937
1814,-0.10700309,0.124094689,-0.096271545,-0.099483714,-0.28607595,-0.122575521,0.130120531,-0.167732343
1815,-0.163501778,0.139098167,-0.115281567,-0.2658692,-0.350758374,-0.086171582,0.074708737,-0.237638682
1816,-0.116077422,0.064936179,-0.135464966,-0.044884305,-0.244783491,-0.120020255,-0.07374686,-0.077564657
