11_v,01_v,02_v,00_v,12_v,10_v,11_a,01_a,02_a,12_a,10_a,00_a,v_mean,v_std,a_mean,a_std
-0.05584775283932686,-0.048910681158304214,-0.15650376677513123,-0.11033694446086884,-0.26901111006736755,-0.16643576323986053,0.15680594742298126,0.2189478874206543,0.28810420632362366,0.6266642808914185,0.30905216932296753,0.4250433146953583,-0.13450766975680986,0.07493648181494274,0.3374363010128339,0.15342422477280462
-0.06749773025512695,-0.38355645537376404,-0.22769033908843994,-0.11369293928146362,-0.15939804911613464,-0.0628720074892044,0.19722577929496765,0.26719212532043457,0.2797281742095947,0.45692694187164307,0.27652472257614136,0.4153124690055847,-0.16911792010068893,0.11120242428247812,0.31548503537972766,0.09044818527993612
-0.2928391993045807,-0.4157596230506897,-0.23772171139717102,-0.12254036962985992,-0.328035444021225,-0.021183323115110397,0.2127980887889862,0.3161744475364685,0.3515440821647644,0.533082127571106,0.28540533781051636,0.4128037393093109,-0.23634661175310612,0.13104469686369263,0.3519679705301921,0.10131101015492792
-0.14417773485183716,-0.33736452460289,-0.197479709982872,-0.12344208359718323,-0.2172321379184723,-0.12789689004421234,0.043325453996658325,0.357660174369812,0.40460047125816345,0.5344635248184204,0.27555468678474426,0.40755438804626465,-0.19126551349957785,0.07403902332254954,0.3371931165456772,0.15219859479640577
-0.13777831196784973,-0.34317854046821594,-0.19968204200267792,-0.1273280382156372,-0.12204296886920929,-0.12344814836978912,0.14937712252140045,0.29329007863998413,0.446823388338089,0.44526582956314087,0.23090609908103943,0.4022742211818695,-0.17557634164889654,0.07959411850788878,0.3279894565542539,0.11249079092654496
-0.19415278732776642,0.0006503947079181671,-0.2616240978240967,-0.12837350368499756,-0.24896737933158875,-0.05101395770907402,0.1763346940279007,0.15426096320152283,0.4372003972530365,0.5364069938659668,0.35089540481567383,0.4036637544631958,-0.14724688852826753,0.09757044943347147,0.3431270346045494,0.1374906421308496
-0.09021620452404022,-0.0094587542116642,-0.23813316226005554,-0.12239795923233032,-0.2749045193195343,0.019465764984488487,0.23897051811218262,0.3884228765964508,0.38482677936553955,0.46686044335365295,0.3548427224159241,0.41930723190307617,-0.11927413909385602,0.10840555351043733,0.375538428624471,0.07022203762688844
-0.1100204586982727,-0.37836599349975586,-0.2556847929954529,-0.11189968883991241,-0.19634966552257538,-0.003038071095943451,0.16235558688640594,0.3224754333496094,0.40258175134658813,0.4035072326660156,0.2837790846824646,0.42790061235427856,-0.17589311177531877,0.1197870892511758,0.3337666168808937,0.09171374917826312
-0.052456509321928024,-0.2791338264942169,-0.11160945892333984,-0.11143195629119873,null,-0.15489456057548523,0.11991415917873383,0.2106490433216095,0.334947407245636,null,0.29532742500305176,0.40925154089927673,-0.14190526232123374,0.07595780169432403,0.27401791512966156,0.10021797570472021
-0.04160689935088158,-0.34529274702072144,-0.10519398748874664,-0.1103053092956543,-0.06538201868534088,-0.07403625547885895,0.1316853016614914,0.4149881601333618,0.37566861510276794,0.37995317578315735,0.3277982473373413,0.4118138551712036,-0.12363620288670063,0.10184298616706959,0.3403178925315539,0.09763217561437881
-0.08276548981666565,-0.14032505452632904,-0.2779923975467682,-0.09306356310844421,-0.28109630942344666,-0.18365639448165894,0.17607226967811584,0.508991539478302,0.2591167688369751,0.44072192907333374,0.24926671385765076,0.4295292794704437,-0.17648320148388544,0.0799465770312944,0.34394975006580353,0.12129293961765199
-0.04557742550969124,-0.2739326059818268,-0.13879555463790894,-0.10787004232406616,-0.10756745934486389,-0.1718820184469223,0.1611815094947815,0.1322670876979828,0.31550127267837524,0.3275578022003174,0.2749484181404114,0.3958132863044739,-0.14093751770754656,0.07065221103432633,0.2678782294193904,0.09311421642885298
-0.07102318108081818,-0.27786901593208313,-0.30629950761795044,-0.08211684226989746,-0.04632630571722984,-0.10058988630771637,0.2240263819694519,0.1914692372083664,0.4542841613292694,0.3763241171836853,0.23072868585586548,0.4086536467075348,-0.14737078982094923,0.10390187686096293,0.3142477050423622,0.1021159779547963
-0.04339643940329552,-0.1568351686000824,-0.21817272901535034,-0.12641207873821259,-0.1737227737903595,-0.13672871887683868,0.15121400356292725,0.22891825437545776,0.37246349453926086,0.39759498834609985,0.16555404663085938,0.42257559299468994,-0.14254465140402317,0.05326091943657002,0.2897200634082158,0.11137927312062451
-0.008138895034790039,-0.2441185712814331,-0.23614057898521423,-0.14262773096561432,-0.16181844472885132,-0.14093175530433655,0.19712436199188232,0.3822496235370636,0.47234776616096497,0.3892132341861725,0.31208956241607666,0.3743060231208801,-0.15562932938337326,0.0779841873528026,0.3545550952355067,0.08447992189145619
0.014995906502008438,-0.1911836862564087,-0.2662074863910675,-0.11899520456790924,-0.15195821225643158,-0.10210549831390381,0.173255056142807,0.3140362501144409,0.4146452248096466,0.2814691662788391,0.44038689136505127,0.4145740270614624,-0.13590903021395206,0.08611195011837261,0.33972776929537457,0.09408695402463109
-0.009797021746635437,-0.277891606092453,-0.2674163281917572,-0.12136039137840271,-0.1443580687046051,-0.09861297905445099,0.195593923330307,0.3884672522544861,0.31747353076934814,0.3242616355419159,0.45191916823387146,0.4446899890899658,-0.1532393991947174,0.09418904252937027,0.3537342498699824,0.08785541509484047
-0.03507787361741066,-0.3235202133655548,-0.26589787006378174,-0.11268796026706696,-0.13520921766757965,-0.2373223900794983,0.24604469537734985,0.3535390794277191,0.40277135372161865,0.4526447057723999,0.309370219707489,0.4543752670288086,-0.18495258751014867,0.09887258718703767,0.36979088683923084,0.0756470775396642
-0.051910970360040665,-0.22625061869621277,-0.16022507846355438,-0.13124136626720428,-0.024992290884256363,-0.18816402554512024,0.20436328649520874,0.11312708258628845,0.21536847949028015,0.329694539308548,0.29682350158691406,0.41555824875831604,-0.13046405836939812,0.07151404902555901,0.2624891897042592,0.09749663398056561
-0.08683560788631439,-0.09284098446369171,-0.15589892864227295,-0.1153322160243988,-0.24565556645393372,-0.21898996829986572,0.17841148376464844,0.19953826069831848,0.16310642659664154,0.38568606972694397,0.24926123023033142,0.42505863308906555,-0.15259221196174622,0.061050295980156974,0.26684368401765823,0.10212436703920076
-0.0805431455373764,-0.21139347553253174,-0.23404434323310852,-0.11615341901779175,-0.26916635036468506,-0.20394887030124664,0.17554053664207458,0.5009549260139465,0.257561594247818,0.477117657661438,0.2929063141345978,0.3860557973384857,-0.18587493399779,0.06607002657965795,0.3483561376730601,0.11723960336113572
-0.0667545348405838,-0.24275636672973633,-0.24230173230171204,-0.13134893774986267,-0.13904649019241333,-0.1976923793554306,0.21268320083618164,0.2974454164505005,0.2228582203388214,0.3580140173435211,0.235102578997612,0.40575048327445984,-0.16998340686162314,0.06376982838611653,0.28864231954018277,0.07253515035706627
-0.07644467055797577,-0.3095514178276062,-0.22698241472244263,-0.1151176393032074,-0.183063343167305,-0.1717371642589569,0.2579303979873657,0.29397493600845337,0.3994211256504059,0.3756031095981598,0.2998673617839813,0.39450427889823914,-0.18048277497291565,0.07527793416790735,0.3368835349877675,0.05503824218958746
-0.0815621018409729,-0.3331789970397949,-0.14822295308113098,-0.11799874901771545,-0.12345373630523682,-0.17621828615665436,0.2622167468070984,0.3071742355823517,0.35545507073402405,0.10233217477798462,0.27994590997695923,0.39348235726356506,-0.16343913724025091,0.08121367804305289,0.2834344158569972,0.09230518589111378
-0.1047665923833847,-0.3387192189693451,-0.18048682808876038,-0.11342556774616241,-0.1155434250831604,-0.17488935589790344,0.2726192772388458,0.3447437584400177,0.38002604246139526,0.44842469692230225,0.3063995838165283,0.4260466992855072,-0.17130516469478607,0.08063437634428962,0.36304334302743274,0.062273205179703466
-0.07291066646575928,-0.38692060112953186,-0.1481279730796814,-0.11456744372844696,-0.19221065938472748,-0.18207134306430817,0.24311460554599762,0.4908354878425598,0.3589177131652832,0.3415774703025818,0.2899494171142578,0.4259689152240753,-0.18280144780874252,0.09973950074619665,0.3583939348657926,0.08202051219877336
0.091041699051857,-0.12699513137340546,-0.09673003852367401,-0.12703059613704681,0.02176271378993988,-0.19227048754692078,0.1888159215450287,0.3101956248283386,0.29605257511138916,0.14021608233451843,0.27713894844055176,0.41905927658081055,-0.07170364012320836,0.0970420107634183,0.2719130714734395,0.08942111818926879
