time_s,rppg_mean,rppg_std,user00,user10,user01
95.16,-0.086458333,0.110489485,0,-0.048437,-0.210938
95.2,-0.0830408,0.101104791,0,-0.0534954,-0.195627
95.24,-0.007843533,0.07564002,0,-0.0870997,0.0635691
95.28,0.161989233,0.208809442,0,0.0883197,0.397648
95.32,0.251358667,0.399927629,0,0.041544,0.712532
95.36,0.256604867,0.38662974,0,0.0685246,0.70129
95.4,0.141034433,0.177153538,0,0.0832343,0.339869
95.44,0.0037213,0.072541472,0,0.0780518,-0.0668879
95.48,-0.177662,0.217960184,0,-0.112111,-0.420875
95.52,-0.226874033,0.323449283,0,-0.0833761,-0.597246
95.56,-0.192211367,0.293622774,0,-0.0464381,-0.530196
95.6,-0.189161,0.219054763,0,-0.138316,-0.429167
95.64,-0.038959087,0.070161397,0,0.00307774,-0.119955
95.68,0.1116244,0.130017336,0,0.0804912,0.254382
95.72,0.1900147,0.280972571,0,0.0572801,0.512764
95.76,0.241061267,0.387130534,0,0.0355748,0.687609
95.8,0.226290667,0.30620934,0,0.104152,0.57472
95.84,0.143556333,0.139796884,0,0.151406,0.279263
95.88,0.007212667,0.191411946,0,0.202129,-0.180491
95.92,-0.118932,0.355941913,0,0.162316,-0.519112
95.96,-0.157944333,0.396169008,0,0.13489,-0.608723
96,-0.1476493,0.329605592,0,0.0823181,-0.525266
96.04,-0.0744104,0.175838222,0,0.0519888,-0.27522
96.08,0.00830375,0.00889566,0,0.0176919,0.00721935
96.12,0.068687703,0.127038037,0,-0.00921889,0.215282
96.16,0.0781231,0.162901519,0,-0.0310027,0.265372
96.2,0.0066012,0.06745668,0,-0.0573122,0.0771158
96.24,-0.023533,0.099082147,0,0.061664,-0.132263
96.28,-0.096446033,0.141169597,0,-0.0308601,-0.258478
96.32,-0.0655101,0.12833323,0,0.0168467,-0.213377
96.36,-0.101207333,0.088753516,0,-0.137847,-0.165775
96.4,-0.1138188,0.272165477,0,-0.424417,0.0829606
96.44,-0.182243667,0.586213295,0,-0.837933,0.291202
96.48,-0.168237333,0.709087834,0,-0.946314,0.441602
96.52,-0.144257333,0.772716077,0,-0.978936,0.546164
96.56,-0.044787667,0.448379305,0,-0.51388,0.379517
96.6,0.096672,0.087029145,0,0.168777,0.121239
96.64,-0.047959433,0.061157737,0,-0.0270483,-0.11683
96.68,0.262712667,0.65449815,0,1.00775,-0.219612
96.72,0.187758667,0.563149897,0,0.820802,-0.257526
96.76,0.031373333,0.341691947,0,0.38767,-0.29355
96.8,-0.072175033,0.076455418,0,-0.0642341,-0.152291
96.84,-0.145739847,0.250973107,0,-0.435537,-0.00168254
